Sample	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	adapt_3p	adapt_polya
SB_4N_1	231975	227435	10890	17630100	31268	511843	5	838
SB_4N_2	211019	206741	9909	16037444	35607	466646	5	151
SB_4N_3	194789	191344	7765	14803964	26553	378943	3	142
CL_1	431151	412862	181257	32767476	127175	6248006	38	149
CL_2	294118	286665	99201	22352968	83801	3272504	8	71
CL_3	351659	343370	110246	26726084	125021	3627509	2	111
4N_1	266601	262798	17645	20261676	344433	665600	0	142
4N_2	592362	589248	3697	45019512	19139	241029	3	59
4N_3	377319	369964	9698	28676244	27620	595805	3	97
4N_C3_1	409281	397728	16704	31105356	78768	876170	12	38543
4N_C3_2	403891	391227	13808	30695716	39618	824182	8	7634
4N_C3_3	578376	575898	2883	43956576	29220	165693	7	26
4N_CL_1	333283	321089	123491	25329508	154546	3797557	18	370
4N_CL_2	298987	287615	99027	22723012	159571	3226709	26	693
4N_CL_3	270753	264281	109849	20577228	131291	3295647	228693	262
SBN_1	1070544	1062468	19339	81361344	15334	855828	16	14
SBN_2	1266655	1257093	28142	96265780	20192	1182808	43	23
SBN_3	1184960	1176515	24167	90056960	16572	1006567	33	15
SBN_CL_1	623516	543247	353872	47387216	25805	13673866	9	331
SBN_CL_2	562214	502007	302752	42728264	23955	11319265	20	269
SBN_CL_3	697097	605603	403236	52979372	28131	15623363	6	427
SB_1	758727	687090	529984	57663252	20346	18155694	32	225
SB_2	896899	790883	608042	68164324	40095	22151984	34	321
SB_3	563997	523084	334464	42863772	27342	11334852	412033	188
SB_4	834880	798628	265941	63450880	40611	8553614	38	151
SB_5	723704	689071	232600	55001504	30101	7735184	16	159
SB_6	873887	816039	281792	66415412	33499	9890865	24	199
SB_4N_4	719137	694953	126034	54654412	90626	4352705	22	150
SB_4N_5	891787	846914	173742	67775812	107291	6537733	49	139
SB_4N_6	675815	654243	122340	51361940	102063	4120868	22	97
SBN_4	873329	834976	198879	66373004	66335	6897007	6	165
SBN_5	966957	897271	258560	73488732	61548	9743693	83	234
SBN_6	873050	833754	208520	66351800	62477	7172044	164	204
SBN_CL_4	763617	722402	279680	58034892	41886	9375338	36	201
SBN_CL_5	841182	774368	314927	63929832	43868	11286777	48	254
SBN_CL_6	948614	866848	305522	72094664	62634	11674167	197	324
4N_4	1387558	1363147	30183	105454408	325890	1902051	80	107
4N_5	1247527	1210793	55615	94812052	1196828	3123429	29	151
4N_6	1222309	1174158	68884	92895484	1327744	3997328	28	184
4N_C3_4	1042227	1021411	44731	79209252	36300	1913327	29	101
4N_C3_5	1147962	1140186	27398	87245112	43272	973190	5	92
4N_C3_6	1065899	1047489	39095	81008324	32351	1667758	11	91
4N_CL_4	931056	893863	226883	70760256	413316	7582909	35	177
4N_CL_5	1105128	1054384	338765	83989728	403080	11055138	31	331
4N_CL_6	921563	867796	242440	70038788	390886	8599257	41	220
CL_4	889146	842926	168780	67575096	25474	6483832	118	107
CL_5	925708	880530	209256	70353808	26736	7690474	101	107
CL_6	1003112	952976	248826	76236512	26857	9327563	867908	126
