Sample	adapt_3p	adapt_polya	bp_processed	bp_written	quality_trimmed	r_processed	r_with_adapters	r_written
SB_C3_3	294509	7	22800000	6093691	53500.0	300000	297245	277776
SB_C3_2	1	5	22800000	5941617	43228.0	300000	298560	274250
SB_C3_1	1	1	22800000	5937234	50912.0	300000	297422	273166
CL_SB_3	1	2	22800000	522981	29901.0	300000	297119	17413
CL_SB_2	4	2	22800000	313972	23358.0	300000	296779	7811
CL_SB_1	2	1	22800000	222570	27675.0	300000	298340	6650
CL_4N_3	2	0	22800000	191463	31246.0	300000	298574	5442
CL_4N_2	4	3	22800000	275727	24539.0	300000	296687	5016
CL_4N_1	5	4	22800000	198701	25352.0	300000	297815	4066
CL_Rand_3	3	0	22800000	141381	48075.0	300000	298154	2709
CL_Rand_2	1	2	22800000	123384	39327.0	300000	298405	2396
CL_Rand_1	5	0	22800000	147520	28465.0	300000	297979	2584
CL_C3_3	5	76	22800000	850362	62230.0	300000	297341	31148
CL_C3_2	7	35	22800000	4210150	39214.0	300000	292590	156346
CL_C3_1	7	20	22800000	3347641	35810.0	300000	295245	128922
CL_UMI6_3	4	8	22800000	5357438	36925.0	300000	292917	198160
CL_UMI6_2	3	5	22800000	4286530	38054.0	300000	295436	172468
CL_UMI6_1	2	25	22800000	4957504	57154.0	300000	296040	214765
CL_16C_3	2	7	22800000	4721121	34876.0	300000	296661	204393
CL_16C_2	3	13	22800000	4346422	30503.0	300000	297579	190838
CL_16C_1	1	0	17475440	362580	17592.0	229940	228626	13758
CL_Block_3	3	0	22800000	117577	13705.0	300000	298375	1997
CL_Block_2	1	1	22800000	111013	15129.0	300000	298441	1827
CL_Block_1	4	2	22800000	134304	15016.0	300000	298193	2368
SB_CL_3	1	1	22800000	5785285	15959.0	300000	298141	267802
SB_CL_2	2	10	22800000	5146057	21722.0	300000	297636	231448
SB_CL_1	3	7	22800000	5355547	21465.0	300000	297600	245674
SB_4N_3	1	35	22800000	4114134	39789.0	300000	297038	184354
SB_4N_2	0	58	22800000	3630536	45831.0	300000	296851	161173
SB_4N_1	0	26	22800000	4172769	34613.0	300000	298394	190283
4N_C3_3	1	7	22800000	3340954	20230.0	300000	298511	150777
4N_C3_2	0	15	22800000	3652910	27058.0	300000	298660	165607
4N_C3_1	1	7	22800000	3429411	23143.0	300000	298746	155315
4N_CL_2	0	0	22800000	6129493	26997.0	300000	297997	278615
4N_CL_1	0	0	22800000	6005655	25379.0	300000	297872	272667
4N_3	0	14	22800000	2442435	23123.0	300000	298800	110077
4N_2	0	11	22800000	3118620	24485.0	300000	298620	140415
4N_1	0	11	22800000	3398101	20177.0	300000	298585	153317
CL_3	2	4	22800000	5835689	21808.0	300000	296303	255803
CL_2	1	4	22800000	5094146	23861.0	300000	296093	215993
CL_1	6	4	22800000	6079163	22374.0	300000	295918	266954
SBN_1	1	36	22800000	5667855	8225.0	300000	297782	254341
SBN_2	0	33	22800000	5505449	13071.0	300000	297983	246589
SBN_3	0	13	22800000	5164091	10466.0	300000	298290	232426
SBN_CL_1	0	108	22800000	6366820	6825.0	300000	296900	285273
SBN_CL_2	0	41	22800000	6317946	6420.0	300000	298248	285684
SBN_CL_3	0	113	22800000	6338476	6494.0	300000	297355	285557
SBN_4N_1	0	265	22800000	314393	23816.0	300000	296144	5478
SBN_4N_2	0	272	22800000	275425	24499.0	300000	296650	4867
SBN_4N_3	0	136	22800000	154256	22017.0	300000	298239	2988
CATS_1	3268	9098	17882496	837538		235296	230962	21397
CATS_2	3675	7513	15358840	574135		202090	200554	17098
CATS_3	4942	7905	22800000	904562		300000	295883	23975
SB_1	2	15	22800000	6503962	6893.0	300000	298064	293431
SB_2	0	9	22800000	6507917	7170.0	300000	297491	292318
SB_3	2	9	22800000	6500900	8390.0	300000	298339	293550
SB_4	0	3	22800000	6555223	11304.0	300000	294958	289747
SB_5	0	3	22800000	6479781	9085.0	300000	296480	289583
SB_6	1	7	22800000	6513494	9935.0	300000	295776	289703
SBN_4N_4	0	2	22800000	6498153	8246.0	300000	293468	282989
SBN_4N_5	0	5	22800000	6399116	7059.0	300000	295592	283363
SBN_4N_6	0	7	22800000	5981632	10110.0	300000	292970	257411
SBN_4	0	5	22800000	6531827	9760.0	300000	294503	288316
SBN_5	0	2	22800000	6519812	9231.0	300000	294547	288061
SBN_6	3	9	22800000	6429473	10201.0	300000	296707	288260
SBN_CL_4	1	7	22800000	6869643	8182.0	300000	292086	286958
SBN_CL_5	0	9	22800000	6736912	11800.0	300000	296063	288833
SBN_CL_6	0	10	22800000	6843525	8630.0	300000	293855	288830
4N_4	0	15	22800000	4517834	56485.0	300000	294104	193446
4N_5	0	14	22800000	4977107	39299.0	300000	292953	211829
4N_6	0	12	22800000	4970999	38757.0	300000	293914	213768
4N_C3_4	0	9	22800000	5245274	6419.0	300000	292220	226644
4N_C3_5	0	7	22800000	5097741	10432.0	300000	297575	230002
4N_C3_6	0	6	22800000	5178026	6338.0	300000	296148	231145
4N_CL_3	0	4	22800000	6711639	10992.0	300000	296786	288426
4N_CL_4	0	3	22800000	6625355	14324.0	300000	297402	286328
4N_CL_5	0	3	22800000	6646009	13005.0	300000	295901	283848
CL_4	0	2	22800000	6155820	11631.0	300000	295795	263355
CL_5	0	1	22800000	6120098	12245.0	300000	297374	264405
CL_6	0	4	22800000	6163804	11027.0	300000	297171	266295
